country,extraction_failed,kept,resample_exhausted,udm2_failed,total_targets,extraction_failed_pct,udm2_failed_pct,resample_exhausted_pct,kept_pct
portugal,0,16,50,0,66,0.0,0.0,75.75757575757575,24.242424242424242
finland,242,4222,1007,194,5665,4.271844660194175,3.4245366284201237,17.775816416593116,74.52780229479258
netherlands,0,2977,800,102,3879,0.0,2.6295436968290797,20.623872131992783,76.74658417117814
france,0,2696,696,116,3508,0.0,3.30672748004561,19.84036488027366,76.85290763968072
cambodia,0,231,65,1,297,0.0,0.3367003367003367,21.885521885521886,77.77777777777777
luxembourg,0,630,133,45,808,0.0,5.569306930693069,16.46039603960396,77.97029702970298
estonia,30,5268,1215,200,6713,0.4468940861015939,2.9792939073439593,18.099210487114554,78.47460151943989
india,385,1575,21,1,1982,19.424823410696266,0.050454086781029264,1.0595358224016145,79.46518668012109
vietnam,7,229,45,6,287,2.4390243902439024,2.0905923344947737,15.679442508710801,79.79094076655052
south_africa,24,598,119,6,747,3.21285140562249,0.8032128514056225,15.930388219544845,80.05354752342704
lithuania,0,4212,961,85,5258,0.0,1.6165842525675163,18.276911373145683,80.1065043742868
austria,0,5483,1133,69,6685,0.0,1.0321615557217652,16.94839192221391,82.01944652206433
corsica,0,2060,412,0,2472,0.0,0.0,16.666666666666668,83.33333333333333
spain,42,2043,342,5,2432,1.7269736842105263,0.20559210526315788,14.0625,84.00493421052632
belgium,0,1662,272,7,1941,0.0,0.36063884595569295,14.013395157135497,85.6259659969088
rwanda,0,60,10,0,70,0.0,0.0,14.285714285714286,85.71428571428571
germany,0,590,96,0,686,0.0,0.0,13.994169096209912,86.00583090379008
kenya,0,356,35,0,391,0.0,0.0,8.951406649616368,91.04859335038363
denmark,0,3246,189,125,3560,0.0,3.5112359550561796,5.308988764044944,91.17977528089888
sweden,0,4380,360,20,4760,0.0,0.42016806722689076,7.563025210084033,92.01680672268908
slovenia,0,2044,128,5,2177,0.0,0.2296738631143776,5.879650895728066,93.89067524115755
slovakia,0,3839,221,13,4073,0.0,0.3191750552418365,5.42597593911122,94.25484900564695
latvia,49,6693,195,1,6938,0.7062554050158547,0.014413375612568464,2.8106082444508504,96.46872297492072
brazil,0,1587,20,0,1607,0.0,0.0,1.2445550715619167,98.75544492843808
croatia,0,3479,3,0,3482,0.0,0.0,0.0861573808156232,99.91384261918438
