country,n_polygons,median_field_size_ha,f1_pl,f1_s2,delta_obj_f1,is_smallholder
cambodia,318088,0.14612143630270288,0.277262,0.363188937932112,-0.08592693793211198,True
vietnam,120913,0.24754149163676484,0.229802,0.2152135978801784,0.014588402119821597,True
spain,258465,0.28937358142127007,0.314471,0.3250844870816526,-0.010613487081652606,True
slovenia,67488,0.30066365064523615,0.328631,0.3287904599659284,-0.00015945996592842127,True
portugal,5040,0.4360392083234136,0.006645,0.0284043441938178,-0.021759344193817802,True
croatia,157481,0.6645322836370574,0.468492,0.4488986386994019,0.019593361300598133,True
austria,196101,1.011436905746755,0.509994,0.5011828020580755,0.00881119794192442,True
belgium,63431,1.0600493803626212,0.640266,0.657185628742515,-0.01691962874251496,True
rwanda,1532,1.4106305349888126,0.216814,0.0742741390952059,0.1425398609047941,True
luxembourg,29018,1.422580611163912,0.527661,0.5599148822981779,-0.03225388229817783,True
lithuania,61424,1.441834676047257,0.55455,0.5021463951568519,0.0524036048431481,True
corsica,5360,1.5604396097981743,0.232751,0.2425068119891008,-0.009755811989100777,True
netherlands,43169,1.9191539236738995,0.538557,0.5668579377499565,-0.028300937749956567,True
finland,57323,2.0122162694332477,0.676199,0.6422008659837364,0.033998134016263615,False
latvia,44964,2.1698116582211204,0.582637,0.5603520536462699,0.022284946353730017,False
estonia,26695,2.991395182422329,0.506657,0.5393586005830904,-0.03270160058309035,False
sweden,39718,3.015488861336853,0.595421,0.5501863684771033,0.04523463152289664,False
germany,4598,3.4995884373159187,0.403635,0.4742941080463523,-0.07065910804635228,False
france,55342,3.6379225481346653,0.599523,0.6342188942455637,-0.03469589424556363,False
denmark,37677,4.699253930765501,0.696812,0.6459824980111377,0.05082950198886227,False
south_africa,6568,9.30880523044536,0.602593,0.5410309278350515,0.06156207216494858,False
slovakia,14242,9.629197982960996,0.675013,0.645631067961165,0.02938193203883499,False
