source_file,model,imagery,backbone,license_split,protocol,country,n_patches,pq,sq,rq,f1_5_95,poly_count_delta_mean,poly_count_delta_p50,bnd_err_mean_m,bnd_err_p95_m
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,heldout_11country,belgium,146,0.517369,0.807967,0.640335,0.426038,7.7192,6.0000,4.8101,14.5122
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,heldout_11country,cambodia,16,0.189121,0.682150,0.277242,0.115218,345.4375,322.0000,5.2318,10.3416
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,heldout_11country,croatia,349,0.348061,0.742957,0.468481,0.251119,11.3610,6.0000,5.6276,14.3937
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,heldout_11country,germany,252,0.322275,0.798646,0.403528,0.261785,5.3968,2.0000,16.1605,57.0885
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,heldout_11country,kenya,47,0.000000,0.000000,0.000000,0.000000,1.8936,1.0000,nan,nan
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,heldout_11country,latvia,703,0.487936,0.837147,0.582856,0.421980,3.8834,2.0000,7.3194,24.0836
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,heldout_11country,lithuania,403,0.449104,0.809938,0.554492,0.371794,7.1439,4.0000,6.4759,22.0345
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,heldout_11country,portugal,2,0.004799,0.722222,0.006645,0.003322,141.5000,141.5000,5.6963,5.6963
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,heldout_11country,slovenia,214,0.240759,0.732780,0.328556,0.169625,28.1729,18.0000,4.8594,12.1465
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,heldout_11country,south_africa,43,0.506998,0.841360,0.602593,0.442563,3.8372,2.0000,10.0270,36.8579
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,heldout_11country,sweden,416,0.495458,0.832352,0.595250,0.425696,3.8510,2.0000,7.3621,24.8759
